Date,Open,High,Low,Close,Adj Close,Volume
2013-06-04,45.810001,45.970001,45.139999,45.250000,42.718887,1049900
2013-06-05,45.160000,45.209999,44.689999,44.709999,42.209095,1056500
2013-06-06,44.660000,45.110001,44.459999,45.110001,42.586712,789300
2013-06-07,45.270000,45.810001,45.189999,45.740002,43.181477,621200
2013-06-10,45.840000,45.860001,45.160000,45.349998,42.813297,1103300
2013-06-11,45.070000,45.270000,44.750000,44.779999,42.275177,742200
2013-06-12,45.040001,45.209999,44.340000,44.430000,41.944752,932200
2013-06-13,44.349998,44.990002,44.250000,44.990002,42.473423,900600
2013-06-14,44.919998,45.150002,44.509998,44.580002,42.086365,574400
2013-06-17,44.830002,45.099998,44.549999,44.869999,42.360138,844800
2013-06-18,44.950001,45.169998,44.880001,45.169998,42.643364,734600
2013-06-19,45.180000,45.330002,44.650002,44.650002,42.152462,659100
2013-06-20,44.340000,44.419998,43.470001,43.580002,41.142307,1122900
2013-06-21,43.900002,43.959999,43.119999,43.580002,41.142307,1410100
2013-06-24,43.240002,43.540001,42.849998,43.220001,40.802429,931900
2013-06-25,43.779999,43.980000,43.369999,43.849998,41.397190,1058800
2013-06-26,44.090000,44.320000,43.820000,43.970001,41.510487,649500
2013-06-27,44.320000,44.580002,44.200001,44.509998,42.020279,517000
2013-06-28,44.349998,44.610001,44.110001,44.400002,41.916435,1285400
2013-07-01,44.830002,44.880001,44.529999,44.680000,42.180775,744500
2013-07-02,44.599998,45.009998,44.400002,44.500000,42.010834,712800
2013-07-03,44.209999,44.369999,44.029999,44.259998,41.784260,503300
2013-07-05,44.560001,44.880001,44.389999,44.869999,42.360138,559200
2013-07-08,44.990002,45.130001,44.869999,44.990002,42.473423,1064100
2013-07-09,45.299999,45.389999,45.049999,45.270000,42.737778,1387300
2013-07-10,45.270000,45.430000,44.860001,45.000000,42.482876,997700
2013-07-11,45.570000,45.570000,45.160000,45.450001,42.907700,909000
2013-07-12,45.470001,45.709999,45.320000,45.680000,43.124844,746300
2013-07-15,45.669998,45.840000,45.520000,45.810001,43.247559,621500
2013-07-16,45.759998,45.919998,45.470001,45.660000,43.105953,600800
2013-07-17,45.799999,46.040001,45.660000,45.990002,43.417496,744800
2013-07-18,46.110001,46.360001,46.029999,46.340000,43.747921,969400
